
Mon May 27 2024 14:29:03 GMT-0700 (Pacific Daylight Time)
===================================================================================
#show processes memory
Processor Pool Total: 1333163004 Used:  327827576 Free: 1005335428
reserve P Pool Total:     102404 Used:         88 Free:     102316
 lsmpi_io Pool Total:    6295128 Used:    6294296 Free:        832
 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 252   0          0          0      29960          0          0 RIB LM VALIDATE 
 253   0          0          0     103208          0          0 SEP_webui_wsma_h
 254   0          0          0      29960          0          0 AAA EPD HANDLER 
 255   0          0          0      29960          0          0 PM EPD API      
 256   0          0          0      53960          0          0 SSS Manager     
 257   0          0          0      53960          0          0 SSS Policy Manag
 258   0          0          0      29960          0          0 SSS Feature Mana
 259   0          0          0      29960          0          0 SSS Feature Time
 260   0        448        448      29960          0          0 TurboACL        
 261   0        448        448      29960          0          0 TurboACL chunk  
 262   0        448        448      53960          0          0 SSM connection m
 263   0          0          0      29960          0          0 VRRS            
 264   0       3152          0      33112          0          0 L2FIB Timer Disp
 265   0       3152          0      33112          0          0 MLRIB L2 Msg Thr
 266   0       4048        328      33440          0          0 NVE main thread 
 267   0          0          0      29960          0          0 Timer handler fo
 268   0          0          0      29960          0          0 Prepaid response
 269   0          0          0      29960          0          0 Timed Policy act
 270   0          0          0      29960          0          0 AAA response han
 271   0        448        448      29960          0          0 IPAM/ODAP Events
 272   0      98736          0     152832          0          0 IPAM Manager    
 273   0        448        448      53960          0          0 IPAM Events     
 274   0          0          0      29960          0          0 L2LISP XID Proce
 275   0        448        448      29960          0          0 Dual-Active Reco
 276   0     911784     376304     535480          0          0 mDNS            
 277   0          0          0      29960          0          0 AC Switch       
 278   0        512        512      53960          0          0 Maintenance mode
 279   0        528        528      29960          0          0 OCE punted Pkts 
 280   0          0          0      29960          0          0 O-UNI Client Msg
 281   0          0          0      53960          0          0 LSP Tunnel FRR  
 282   0          0          0      53960          0          0 MPLS Auto-Tunnel
 283   0     153728          0     255688          0          0 st_pw_oam       
 284   0          0          0     101960          0          0 SR SID Mgr      
 285   0       3296          0      57256          0          0 L2RIB Thread    
 286   0          0          0      29960          0          0 CCM             
 287   0          0          0      29960          0          0 CCM IPC flow con
 288   0        448        448      53960          0          0 ATM OAM Input   
 289   0        448        448      53960          0          0 ATM OAM TIMER   
 290   0      13224        448      42736          0          0 PTP protocol eng
 291   0          0          0      29960          0          0 Umbrella DNS    
 292   0          0          0      41960          0          0 Stealthwatch Clo
 293   0        408          0      30368          0          0 XDR background p
 294   0          0          0      29960          0          0 XDR mcast       
 295   0          0          0      29960          0          0 XDR RP Ping Back
 296   0          0          0      53960          0          0 XDR receive     
 297   0          0          0      29960          0          0 IPC LC Message H
 298   0          0          0      29960          0          0 XDR RP Test Back
 299   0          0          0      29960          0          0 FRR Background P
 300   0     241712      28128     267368          0          0 CEF background p
 301   0        408          0      54368          0          0 fib_fib_bfd_sb e
 302   0          0          0      41960          0          0 IP IRDP         
 303   0      12080          0      42040          0          0 LSD HA Proc     
 304   0        408          0      30368          0          0 CEF RP Backgroun
 305   0          0          0      54080          0          0 Routing Topology
 306   0      11024          0      64840          0          0 IP RIB Update   
 307   0     134928     116632      62408          0          0 IP Background   
 308   0       8600        608      49952          0          0 IP Connected Rou
 309   0        408          0      42368          0          0 Tunnel FIB      
 310   0     977088      89440     940456          0          0 CEF: IPv4 proces
 311   0        408          0      54368          0          0 ADJ background  
 312   0        408          0      54368          0          0 Collection proce
 313   0      39296       9888      83536          0          0 CEF: IPv6 proces
 314   0          0          0      41960          0          0 IPv6 RIB Cleanup
 315   0          0          0      41960          0          0 IPv6 RIB Event H
 316   0          0          0      29960          0          0 BFD HA          
 317   0          0   67738352      53960     522182     522182 TCP Timer       
 318   0 4286171800   18666896      58704          0          0 TCP Protocols   
 319   0          0          0      29960          0          0 Socket Timers   
 320   0 6014512608 5322969352     266784     129311     129309 HTTP CORE       
 321   0        448        448      29960          0          0 EFP Errd        
 322   0        448        448      29960          0          0 Ether EFP Proces
 323   0        448        592      53960          0          0 nbar-graph-sende
 324   0        448        592      53960          0          0 nbar-custom-prot
 325   0        448       2672      53960          0          0 nbar-sdavc-sched
 326   0        448        592      53960          0          0 nbar-pp-monitor 
 327   0        448       3056      53960          0          0 Flow Exporter Ti
 328   0        448        448      53960          0          0 Flow Exporter Pa
 329   0      32624      69472      73248          0          0 IGMPSN L2MCM    
 330   0          0          0      41960          0          0 IGMPSN MRD      
 331   0       8600          0      62560          0          0 IGMPSN          
 332   0          0          0      29960          0          0 IGMPQR          
 333   0          0          0      41960          0          0 IGMPSN-HA       
 334   0       9688      68776      50400          0          0 MLDSN L2MCM     
 335   0          0          0      41960          0          0 MRD             
 336   0          0          0      53960          0          0 MLD_SNOOP       
 337   0          0          0      41960          0          0 MLDSN-HA        
 338   0          0          0      29960          0          0 IP Traceroute   
 339   0          0          0      29960          0          0 BSO_Query       
 340   0          0          0      53960          0          0 PKI Trustpool   
 341   0        736          0      54696          0          0 ONEP Dispatch po
 342   0        448        448      29960          0          0 REP LSL Proc    
 343   0       7912        448      37424          0          0 REP BPA/EPA Proc
 344   0        896        448      42408          0          0 AUTO LAG Protoco
 345   0          0          0      29960          0          0 AAA System Acct 
 346   0        448        448      41960          0          0 static          
 347   0          0          0      41960          0          0 IPv6 Static Hand
 348   0       1016          0      30368          0          0 DNS Service     
 349   0          0      13104      29960          0          0 SpanTree Flush  
 350   0   92118176   92118176      41960          0          0 QoS stats proces
 351   0      38912        448      68424          0          0 SCTP Main Proces
 352   0          0          0      29960          0          0 SNMP Timers     
 353   0          0          0      29960          0          0 TCP HA PROC     
 354   0          0          0      29960          0          0 RETRY_REPOPULATE
 355   0          0          0      30032          0          0 IPv6 Access Cont
 356   0          0          0      17960          0          0 DAI Packet Proce
 357   0      48760        448      36232          0          0 L2TRACE SERVER  
 358   0          0          0      29960          0          0 VMATM Callback  
 359   0       2592        448     104104          0          0 Ethernet CFM    
 360   0          0          0      29960          0          0 CFM HA IPC messa
 361   0          0          0      53960          0          0 Ethernet PM Moni
 362   0          0          0      41960          0          0 Ethernet PM Proc
 363   0        448        448      42048          0          0 Ethernet PM Soft
 364   0        448        448      29960          0          0 Ether Infra RP  
 365   0          0          0      53960          0          0 AP upgrade IPC p
 366   0        448        448      29960          0          0 Ewlc cli mqipc h
 367   0        448        448      30048          0          0 Ewlc copy mqipc 
 368   0        448        448      29960          0          0 NEXTHOP_MAC_PROC
 369   0        152          0      29960          0          0 VRRP V3 HA      
 370   0          0          0      29960          0          0 IPv6 ACL RP Proc
 371   0          0          0      29960          0          0 MLDQR           
 372   0          0          0      29960          0          0 NGWC stack power
 373   0        448        448      53960          0          0 Tunnel          
 374   0        408          0      30368          0          0 XDR FOF process 
 375   0          0          0      41960          0          0 UID mgr backgrou
 376   0        456          0      54416          0          0 UID Hash Table R
 377   0      33632        312      87280          1          1 ADJ resolve proc
 378   0        448        448      30032          0          0 DHCPv6 LQ client
 379   0        448        448     102088          0          0 TLSCLIENT_PROCES
 380   0          0          0      29960          0          0 STP HA IPC flow 
 381   0       2256        448      43768          0          0 MVPN Mgr Process
 382   0        896        448      42408          0          0 Multicast Offloa
 383   0     433712          0      33016          0          0 Call Home Timer 
 384   0        736          0      54696          0          0 ONEP Dispatch po
 385   0        408          0      54368          0          0 MFIB Master back
 386   0          0          0      29960          0          0 MRIB RP PROCESS 
 387   0        760          0      54720          0          0 MRIB RP Proxy   
 388   0        472       6944      30432          0          0 Service Routing 
 389   0      28688      10392      42352          0          0 SR CapMan Proces
